任务ID,任务描述,源物体,目标物体,是否成功,失败原因,执行步数,物体保持高度,移动正确物体,靠近目标,是最近物体
0,移动 勺子 到 茄子,勺子,茄子,否,未移动正确物体 + 未靠近目标,50,是,否,否,是
1,移动 打开的百事可乐罐 到 海绵,打开的百事可乐罐,海绵,否,未靠近目标,50,是,是,否,是
2,移动 打开的可口可乐罐 到 胡萝卜,打开的可口可乐罐,胡萝卜,否,未移动正确物体 + 未靠近目标,50,是,否,否,是
3,移动 可口可乐罐 到 茄子,可口可乐罐,茄子,否,未靠近目标,50,是,是,否,是
4,移动 黄色方块(3cm) 到 勺子,黄色方块(3cm),勺子,否,未移动正确物体 + 未靠近目标,50,是,否,否,是
5,移动 打开的七喜罐 到 茄子,打开的七喜罐,茄子,否,未移动正确物体 + 未靠近目标,50,是,否,否,是
6,移动 勺子 到 胡萝卜,勺子,胡萝卜,否,未靠近目标,50,是,是,否,是
7,移动 红牛罐 到 黄色方块(3cm),红牛罐,黄色方块(3cm),否,未靠近目标,50,是,是,否,是
8,移动 打开的芬达罐 到 百事可乐罐,打开的芬达罐,百事可乐罐,否,未移动正确物体 + 未靠近目标,50,是,否,否,是
9,移动 打开的可口可乐罐 到 雪碧罐,打开的可口可乐罐,雪碧罐,是,成功,50,是,是,是,是
10,移动 打开的红牛罐 到 黄色方块(3cm),打开的红牛罐,黄色方块(3cm),否,未靠近目标,50,是,是,否,是
11,移动 芬达罐 到 可口可乐罐,芬达罐,可口可乐罐,否,未靠近目标,50,是,是,否,是
12,移动 红牛罐 到 勺子,红牛罐,勺子,是,成功,50,是,是,是,是
13,移动 打开的七喜罐 到 茄子,打开的七喜罐,茄子,否,未靠近目标,50,是,是,否,是
14,移动 橙子 到 打开的红牛罐,橙子,打开的红牛罐,否,未移动正确物体 + 未靠近目标,50,是,否,否,是
15,移动 打开的红牛罐 到 雪碧罐,打开的红牛罐,雪碧罐,否,未移动正确物体 + 未靠近目标,50,是,否,否,是
16,移动 芬达罐 到 蓝色塑料瓶,芬达罐,蓝色塑料瓶,否,未移动正确物体 + 未靠近目标,50,是,否,否,是
17,移动 黄色方块(3cm) 到 橙子,黄色方块(3cm),橙子,否,未移动正确物体 + 未靠近目标,50,是,否,否,是
18,移动 勺子 到 打开的七喜罐,勺子,打开的七喜罐,否,未移动正确物体 + 未靠近目标,50,是,否,否,是
19,移动 打开的雪碧罐 到 胡萝卜,打开的雪碧罐,胡萝卜,是,成功,50,是,是,是,是
20,移动 打开的可口可乐罐 到 芬达罐,打开的可口可乐罐,芬达罐,是,成功,50,是,是,是,是
21,移动 打开的七喜罐 到 海绵,打开的七喜罐,海绵,否,未靠近目标,50,是,是,否,是
22,移动 打开的七喜罐 到 打开的可口可乐罐,打开的七喜罐,打开的可口可乐罐,是,成功,50,是,是,是,是
23,移动 橙子 到 勺子,橙子,勺子,否,未靠近目标,50,是,是,否,是
24,移动 百事可乐罐 到 红牛罐,百事可乐罐,红牛罐,是,成功,50,是,是,是,是
25,移动 橙子 到 打开的雪碧罐,橙子,打开的雪碧罐,是,成功,50,是,是,是,是
26,移动 茄子 到 黄色方块(3cm),茄子,黄色方块(3cm),否,未移动正确物体 + 未靠近目标,50,是,否,否,是
27,移动 打开的芬达罐 到 green cube 3cm,打开的芬达罐,green_cube_3cm,否,未移动正确物体 + 未靠近目标,50,是,否,否,是
28,移动 打开的七喜罐 到 茄子,打开的七喜罐,茄子,否,未移动正确物体 + 未靠近目标,50,是,否,否,是
29,移动 打开的芬达罐 到 海绵,打开的芬达罐,海绵,是,成功,50,是,是,是,是
30,移动 蓝色塑料瓶 到 打开的可口可乐罐,蓝色塑料瓶,打开的可口可乐罐,是,成功,50,是,是,是,是
31,移动 打开的红牛罐 到 雪碧罐,打开的红牛罐,雪碧罐,是,成功,50,是,是,是,是
32,移动 勺子 到 apple,勺子,apple,否,未移动正确物体 + 未靠近目标,50,是,否,否,是
33,移动 green cube 3cm 到 橙子,green_cube_3cm,橙子,否,未移动正确物体 + 未靠近目标,50,是,否,否,是
34,移动 红牛罐 到 green cube 3cm,红牛罐,green_cube_3cm,是,成功,50,是,是,是,是
35,移动 打开的百事可乐罐 到 可口可乐罐,打开的百事可乐罐,可口可乐罐,否,未靠近目标,50,是,是,否,是
36,移动 打开的七喜罐 到 打开的可口可乐罐,打开的七喜罐,打开的可口可乐罐,否,未移动正确物体 + 未靠近目标,50,是,否,否,是
37,移动 打开的百事可乐罐 到 green cube 3cm,打开的百事可乐罐,green_cube_3cm,否,物体掉落/倾倒 + 未靠近目标,50,否,是,否,是
38,移动 可口可乐罐 到 百事可乐罐,可口可乐罐,百事可乐罐,否,未靠近目标,50,是,是,否,是
39,移动 芬达罐 到 红牛罐,芬达罐,红牛罐,是,成功,50,是,是,是,是
40,移动 橙子 到 胡萝卜,橙子,胡萝卜,否,未靠近目标,50,是,是,否,是
41,移动 胡萝卜 到 打开的红牛罐,胡萝卜,打开的红牛罐,否,未靠近目标,50,是,是,否,是
42,移动 打开的百事可乐罐 到 勺子,打开的百事可乐罐,勺子,否,未靠近目标,50,是,是,否,是
43,移动 apple 到 雪碧罐,apple,雪碧罐,否,未靠近目标,50,是,是,否,是
44,移动 红牛罐 到 雪碧罐,红牛罐,雪碧罐,否,未移动正确物体 + 未靠近目标,50,是,否,否,是
45,移动 百事可乐罐 到 红牛罐,百事可乐罐,红牛罐,是,成功,50,是,是,是,是
46,移动 芬达罐 到 橙子,芬达罐,橙子,否,未移动正确物体 + 未靠近目标,50,是,否,否,是
47,移动 green cube 3cm 到 打开的百事可乐罐,green_cube_3cm,打开的百事可乐罐,否,未移动正确物体 + 未靠近目标,50,是,否,否,是
48,移动 勺子 到 打开的百事可乐罐,勺子,打开的百事可乐罐,否,未靠近目标,50,是,是,否,是
49,移动 蓝色塑料瓶 到 茄子,蓝色塑料瓶,茄子,否,未移动正确物体 + 未靠近目标,50,是,否,否,是
50,移动 打开的芬达罐 到 百事可乐罐,打开的芬达罐,百事可乐罐,是,成功,50,是,是,是,是
51,移动 green cube 3cm 到 打开的芬达罐,green_cube_3cm,打开的芬达罐,否,未移动正确物体 + 未靠近目标,50,是,否,否,是
52,移动 打开的红牛罐 到 打开的百事可乐罐,打开的红牛罐,打开的百事可乐罐,否,未移动正确物体 + 未靠近目标,60,是,否,否,是
53,移动 打开的红牛罐 到 打开的七喜罐,打开的红牛罐,打开的七喜罐,是,成功,60,是,是,是,是
54,移动 green cube 3cm 到 红牛罐,green_cube_3cm,红牛罐,否,未移动正确物体 + 未靠近目标,60,是,否,否,是
55,移动 green cube 3cm 到 勺子,green_cube_3cm,勺子,否,未移动正确物体 + 未靠近目标,60,是,否,否,是
56,移动 百事可乐罐 到 蓝色塑料瓶,百事可乐罐,蓝色塑料瓶,是,成功,60,是,是,是,是
57,移动 海绵 到 黄色方块(3cm),海绵,黄色方块(3cm),否,未靠近目标,60,是,是,否,是
58,移动 打开的七喜罐 到 打开的雪碧罐,打开的七喜罐,打开的雪碧罐,是,成功,60,是,是,是,是
59,移动 green cube 3cm 到 红牛罐,green_cube_3cm,红牛罐,否,未移动正确物体 + 未靠近目标,60,是,否,否,是
60,移动 蓝色塑料瓶 到 apple,蓝色塑料瓶,apple,否,未靠近目标,60,是,是,否,是
61,移动 勺子 到 打开的红牛罐,勺子,打开的红牛罐,否,未移动正确物体 + 未靠近目标,60,是,否,否,是
62,移动 橙子 到 海绵,橙子,海绵,否,未移动正确物体 + 未靠近目标,60,是,否,否,是
63,移动 打开的雪碧罐 到 打开的百事可乐罐,打开的雪碧罐,打开的百事可乐罐,是,成功,60,是,是,是,是
64,移动 7up can 到 茄子,7up_can,茄子,否,未靠近目标,60,是,是,否,是
65,移动 打开的百事可乐罐 到 打开的可口可乐罐,打开的百事可乐罐,打开的可口可乐罐,是,成功,60,是,是,是,是
66,移动 茄子 到 雪碧罐,茄子,雪碧罐,否,未移动正确物体 + 未靠近目标,60,是,否,否,是
67,移动 红牛罐 到 百事可乐罐,红牛罐,百事可乐罐,否,未靠近目标,60,是,是,否,是
68,移动 胡萝卜 到 7up can,胡萝卜,7up_can,否,未移动正确物体 + 未靠近目标,60,是,否,否,是
69,移动 茄子 到 海绵,茄子,海绵,否,未移动正确物体 + 未靠近目标,60,是,否,否,是
70,移动 打开的雪碧罐 到 芬达罐,打开的雪碧罐,芬达罐,否,未移动正确物体 + 未靠近目标,60,是,否,否,是
71,移动 胡萝卜 到 茄子,胡萝卜,茄子,否,未移动正确物体 + 未靠近目标,60,是,否,否,是
72,移动 海绵 到 胡萝卜,海绵,胡萝卜,否,未移动正确物体 + 未靠近目标,60,是,否,否,是
73,移动 打开的芬达罐 到 勺子,打开的芬达罐,勺子,是,成功,60,是,是,是,是
74,移动 茄子 到 胡萝卜,茄子,胡萝卜,否,未移动正确物体 + 未靠近目标,60,是,否,否,是
75,移动 百事可乐罐 到 green cube 3cm,百事可乐罐,green_cube_3cm,否,未靠近目标,60,是,是,否,是
76,移动 橙子 到 apple,橙子,apple,否,未移动正确物体 + 未靠近目标,60,是,否,否,是
77,移动 红牛罐 到 芬达罐,红牛罐,芬达罐,否,未靠近目标,60,是,是,否,是
78,移动 勺子 到 green cube 3cm,勺子,green_cube_3cm,否,未移动正确物体 + 未靠近目标,80,是,否,否,是
79,移动 勺子 到 蓝色塑料瓶,勺子,蓝色塑料瓶,否,未移动正确物体 + 未靠近目标,80,是,否,否,是
80,移动 apple 到 打开的可口可乐罐,apple,打开的可口可乐罐,否,未移动正确物体 + 未靠近目标,80,是,否,否,是
81,移动 橙子 到 蓝色塑料瓶,橙子,蓝色塑料瓶,是,成功,80,是,是,是,是
82,移动 7up can 到 勺子,7up_can,勺子,否,物体掉落/倾倒 + 未靠近目标,80,否,是,否,是
83,移动 green cube 3cm 到 黄色方块(3cm),green_cube_3cm,黄色方块(3cm),否,未移动正确物体 + 未靠近目标,80,是,否,否,是
84,移动 芬达罐 到 黄色方块(3cm),芬达罐,黄色方块(3cm),否,未靠近目标,80,是,是,否,是
85,移动 green cube 3cm 到 打开的七喜罐,green_cube_3cm,打开的七喜罐,否,未移动正确物体 + 未靠近目标,80,是,否,否,是
86,移动 红牛罐 到 green cube 3cm,红牛罐,green_cube_3cm,是,成功,80,是,是,是,是
87,移动 7up can 到 打开的百事可乐罐,7up_can,打开的百事可乐罐,是,成功,80,是,是,是,是
88,移动 打开的百事可乐罐 到 勺子,打开的百事可乐罐,勺子,是,成功,80,是,是,是,是
89,移动 茄子 到 可口可乐罐,茄子,可口可乐罐,否,未移动正确物体 + 未靠近目标,80,是,否,否,是
90,移动 芬达罐 到 红牛罐,芬达罐,红牛罐,是,成功,80,是,是,是,是
91,移动 茄子 到 打开的可口可乐罐,茄子,打开的可口可乐罐,否,未移动正确物体 + 未靠近目标,80,是,否,否,是
92,移动 打开的百事可乐罐 到 勺子,打开的百事可乐罐,勺子,否,未移动正确物体 + 未靠近目标,80,是,否,否,是
93,移动 茄子 到 打开的芬达罐,茄子,打开的芬达罐,否,未移动正确物体 + 未靠近目标,80,是,否,否,是
94,移动 胡萝卜 到 红牛罐,胡萝卜,红牛罐,否,未移动正确物体 + 未靠近目标,80,是,否,否,是
95,移动 勺子 到 可口可乐罐,勺子,可口可乐罐,否,未移动正确物体 + 未靠近目标,80,是,否,否,是
96,移动 芬达罐 到 apple,芬达罐,apple,是,成功,80,是,是,是,是
97,移动 打开的芬达罐 到 打开的百事可乐罐,打开的芬达罐,打开的百事可乐罐,否,未移动正确物体 + 未靠近目标,80,是,否,否,是
98,移动 胡萝卜 到 可口可乐罐,胡萝卜,可口可乐罐,是,成功,80,是,是,是,是
99,移动 打开的雪碧罐 到 芬达罐,打开的雪碧罐,芬达罐,否,未移动正确物体 + 未靠近目标,80,是,否,否,是
